tweet,sentiment_label
RT @svaradarajan: Large Individual Deposits in Ahmedabad District Cooperative Bank Remain Unexplained https://t.co/4s37PY8yyy via @thewire_…,Positive
RT @thewire_in: Large individual deposits in Ahmedabad District Cooperative Bank remain unexplained   https://t.co/tEQRwgQ7tY | @mkvenu1 ht…,Positive
RT @iSushilPandey: 4 जुलाई, 2018
'Social Media Meet with Amit Shah Sir''
जो भी भाई उत्तर प्रदेश भारतीय जनता पार्टी से जुड़े हुए हैं,वो अगर…,Positive
Amit Shah is on right path the leader has to provide confidence and faith withou goal there can be no success. Time… https://t.co/49m49Xl9k3,Positive
RT @rachitseth: #ShahZyadaKhaGaya 
1. Look at ‘Gujarat’ list in the RTI that exposed Amit Shah. Look at the amounts. 
2. Not only Amit Shah…,Neutral
RT @HartoshSinghBal: SC prohibited photos of all except president, PM, CJI, CMs, Governors, Ministers. So what is Amit Shah doing on Chhatt…,Neutral
RT @ZeeNewsHindi: .@asadowaisi ने दी PM @narendramodi और @AmitShah को चुनौती, 'हैदराबाद में मेरे खिलाफ लड़कर दिखाएं'

https://t.co/tOJZOkni…,Neutral
"They felt scared when Shah entered their humble houses and mistook him for a dacoit.” https://t.co/BJFKnV7qVO,Neagtive
RT @ANI: Challenge anyone to fight All India Majlis-e-Ittehadul Muslimeen(AIMIM) from Hyderabad. I challenge PM Modi or Amit Shah to contes…,Neutral
RT @SalmanNizami_: No intimidation tactic will work on Azad Sahib. His statesmanship has vanquished Amit Shah's machinations in Karnataka.…,Neutral
RT @ANI: Challenge anyone to fight All India Majlis-e-Ittehadul Muslimeen(AIMIM) from Hyderabad. I challenge PM Modi or Amit Shah to contes…,Neutral
RT @JMehta65: Hello @asadowaisi sahib,  why should Modiji or Amit Shah contest from Hyderabad? If you have the ITCH then go and contest fro…,Neutral
RT @abpnewshindi: 2019 के आम चुनावों को सियासी रंग देने वाले बयान में @asadowaisi ने पीएम @narendramodi और @AmitShah को हैदराबाद से चुनाव ल…,Neutral
West Bengal People Want BJP Not Mamata Banerjee Govt. || Amit Shah Massive Rally in Purulia: https://t.co/oU87mIVZhf via @YouTube,Neutral
RT @thewire_in: Large individual deposits in Ahmedabad District Cooperative Bank remain unexplained   https://t.co/tEQRwgQ7tY | @mkvenu1 ht…,Positive
RT @rammadhavbjp: Bengal for BJP. Massive n enthusiastic crowd greets Party President Sh Amit Shah at Purulia. Tide is turning. https://t.c…,Positive
RT @arjyabratapande: @SushmaSwaraj ma'am 🙏🙏.. Till now no respond from our state govt. Plz do a phone call to our honourable chief minister…,Neutral
Amit Shah aims to win big in Odisha in next LS polls https://t.co/bI0UjME1HM,Positive
I added a video to a @YouTube playlist https://t.co/oU87mIVZhf West Bengal People Want BJP Not Mamata Banerjee Govt. || Amit Shah,Neutral
RT @RahulGandhi: Congratulations Amit Shah ji , Director, Ahmedabad Dist. Cooperative Bank, on your bank winning 1st prize in the conversio…,Positive
RT @swamv39: Looks like @GitaSKapoor was not Invited to BJP Social media conference when Amit Shah suggested his Army not to spread fake ne…,Neagtive
RT @aiparisangh: SC/ST कानून को लेकर परिसंघ राष्ट्रीय अध्यक्ष उदित राज ने अमित शाह से जताई नाराज़गी ।

https://t.co/XRptMRnfOp,Neutral
RT @rssurjewala: Will Amit Shahji answer today in his rally if journalists in J&amp;K have to fall in line for not being assasinated like Shuja…,Neutral
RT @rssurjewala: After plunging J&amp;K into a deep turmoil, through an unethical opportunistic alliance,marred with a disquiet border, corrupt…,Neutral
RT @milligazette: Large Individual Deposits in Ahmedabad District Cooperative Bank Remain Unexplained https://t.co/3PRg5g7s85,Positive
Congress communalised ‘Vande Matram’ for  appeasement, says Amit Shah .. https://t.co/6VS14f5cg0,Neutral
RT @PankajTiwarri: @tavleen_singh Ji, It sounds like you are drunk and you do not have sense of what you are talking about or you do not ha…,Neagtive
Amit Shah meets family in Bengal village, they join Mamata's TMC next day .. https://t.co/29Xzyfrs6T,Neutral
Kerala BJP workers spam Amit Shah's Facebook page with complaints against state leaders .. https://t.co/vsSjqVHrRm,Neutral
Kerala BJP workers spam Amit Shah's Facebook page with complaints against state leaders.. https://t.co/vsSjqVHrRm,Neutral
RT @milligazette: Large Individual Deposits in Ahmedabad District Cooperative Bank Remain Unexplained https://t.co/3PRg5g7s85,Positive
RT @svaradarajan: Large Individual Deposits in Ahmedabad District Cooperative Bank Remain Unexplained https://t.co/4s37PY8yyy via @thewire_…,Positive
RT @htTweets: .@AmitShah arrives in Imphal for meetings with north-eastern leaders, reports @ssamom1970
https://t.co/NJhwGP8IeQ https://t.c…,Neutral
RT @thewire_in: Large individual deposits in Ahmedabad District Cooperative Bank remain unexplained   https://t.co/tEQRwgQ7tY | @mkvenu1 ht…,Positive
Large Individual Deposits in Ahmedabad District Cooperative Bank Remain Unexplained https://t.co/3PRg5g7s85,Positive
Some questions:
1.Who is funding Sri Hanuman Beniwal?
2.Why he speaks only against Raj CM @VasundharaBJP Ji &amp;former… https://t.co/dhQ8ayvqjz,Neutral
RT @aajtak: पीएम मोदी के 28 अप्रैल को किए गए ट्वीट में ये बताया गया है कि किया कि आज भारत के प्रत्‍येक गांव तक बिजली पहुंच गई है. वहीं, शाह…,Neutral
RT @iScrew: Amit Shah's Rs 745 crore ADC Bank demonetisation scam grows to Rs 3000 crores involving 18 Gujarat BJP leaders including Dy CM…,Neutral
RT @mkvenu1: Large Individual Deposits in Ahmedabad District Cooperative Bank Remain Unexplained https://t.co/5i9URRwC3P via @thewire_in,Positive
RT @ANI: Challenge anyone to fight All India Majlis-e-Ittehadul Muslimeen(AIMIM) from Hyderabad. I challenge PM Modi or Amit Shah to contes…,Neutral
RT @VineetPunia: Mr PM @narendramodi ! Ur the Prime Minister of India. 

Plz think about the status &amp; dignity of the Position. Kindly do a…,Positive
RT @svaradarajan: Large Individual Deposits in Ahmedabad District Cooperative Bank Remain Unexplained https://t.co/4s37PY8yyy via @thewire_…,Positive
Amit Shah's tall claims in Bengal more wishful than pragmatic, say analysts
https://t.co/fvJV3xltU9
#AmitShah #WestBengal #BJP,Positive
RT @HartoshSinghBal: SC prohibited photos of all except president, PM, CJI, CMs, Governors, Ministers. So what is Amit Shah doing on Chhatt…,Neutral
https://t.co/jmZZPTGlUn,Neutral
RT @HartoshSinghBal: SC prohibited photos of all except president, PM, CJI, CMs, Governors, Ministers. So what is Amit Shah doing on Chhatt…,Neutral
RT @ANI: Rahul Gandhi asks Modi ji what did he do in 4 yrs. I would like to tell him we aren't answerable to you. People gave us right to b…,Positive
RT @RahulGandhi: Congratulations Amit Shah ji , Director, Ahmedabad Dist. Cooperative Bank, on your bank winning 1st prize in the conversio…,Positive
RT @aajtak: पीएम मोदी के 28 अप्रैल को किए गए ट्वीट में ये बताया गया है कि किया कि आज भारत के प्रत्‍येक गांव तक बिजली पहुंच गई है. वहीं, शाह…,Neutral
This also happened the last time Amit Shah was in town iirc. https://t.co/TSRltdq4eB,Neutral
मिशन 2019ः यूपी में 4 जुलाई से भाजपा में नया जोश भरेंगे अमित शाह https://t.co/hsgGXV4jdT,Neutral
RT @HartoshSinghBal: SC prohibited photos of all except president, PM, CJI, CMs, Governors, Ministers. So what is Amit Shah doing on Chhatt…,Neutral
RT @CNNnews18: #RoadTo2019 - More than 65 BJP workers were killed in the violence in Bengal and more than 1341 workers were injured: Amit S…,Positive
RT @arjyabratapande: @SushmaSwaraj ma'am 🙏🙏.. Till now no respond from our state govt. Plz do a phone call to our honourable chief minister…,Neutral
RT @thewire_in: Large individual deposits in Ahmedabad District Cooperative Bank remain unexplained   https://t.co/tEQRwgQ7tY | @mkvenu1 ht…,Positive
RT @subodh_tailang: Saffron party will rise in West Bengal? Here's Amit Shah's all-out Attack on Mamata Banerjee that has stunned the TMC h…,Neutral
@sonaliranade "We have Amit Shah",Neutral
यूपी: 2019 के लिए विपक्षी एकता का तोड़ निकालने में जुटी भाजपा, ये है प्‍लान - Jansatta https://t.co/XmBXSAq5F2,Neutral
RT @thewire_in: Large individual deposits in Ahmedabad District Cooperative Bank remain unexplained   https://t.co/tEQRwgQ7tY | @mkvenu1 ht…,Positive
RT @ssingapuri: Amit Shah Chanakya very cleverly manipulated the rains!!! https://t.co/5Fvqwkj9Bq,Positive
RT @SamirAb67243667: शाह-नोटबंदी 100प्रतिशत सफल थी__

अब समझा की मोदी &amp; शाह को नोटबंदी क्यू सफल लगी थी!खूब लूटा मौसेरे भाईयो ने देश को और…,Neutral
RT @NorthBjym: Sh.Amit Shah ji national president bharatiya Janata party Social media meet with volunteer's venue Sarat Sadan, howrah @BJYM…,Positive
RT @JMehta65: Hello @asadowaisi sahib,  why should Modiji or Amit Shah contest from Hyderabad? If you have the ITCH then go and contest fro…,Neutral
RT @SamirAb67243667: शाह-नोटबंदी 100प्रतिशत सफल थी__

अब समझा की मोदी &amp; शाह को नोटबंदी क्यू सफल लगी थी!खूब लूटा मौसेरे भाईयो ने देश को और…,Neutral
RT @dhruv_rathee: India's Biggest Scam - Demonetisation keeps growing bigger? 

A bank, whose director is Amit Shah received deposits of 70…,Neutral
