tweet,sentiment_label
RT @kalkur_vivek: @Pradeepisgreat @raghuynt @shashibk @anjukkumar @AxPn @anilkarat @murali772 @ksvenu247 @ghanshyam_in @VoicOfNewIndia @kir…,Neutral
RT @_HazirJawab: @ikamalhaasan So you're advising JDS like setup? Another #KumaraSwamy in the making 😂😂😂,Neutral
RT @ArvindKejriwal: On behalf of people of Delhi, I wish to thank all political parties n their leaders, who supported us in this fight. Sp…,Neutral
@raghuynt @shashibk @Pradeepisgreat @anjukkumar @AxPn @anilkarat @murali772 @ksvenu247 @ghanshyam_in… https://t.co/x3F0wJR6WN,Neutral
Listen to deceased, controversial IAS officer #DKRavi’s mother in @TheState_News’ Why I Lost? series. She blames… https://t.co/WMyEp8II0Y,Positive
@kalkur_vivek @Pradeepisgreat @raghuynt @shashibk @anjukkumar @AxPn @anilkarat @murali772 @ghanshyam_in… https://t.co/vQ54b9l5El,Neutral
RT @SubhashHugar: ಮಾಜಿ ಪ್ರಧಾನಿ ದೇವೇಗೌಡರು 2019ರ‌ ಚುನಾವಣೆಯಲ್ಲಿ @BJP4India ವಿರುದ್ದ ವಿಪಕ್ಷಗಳನ್ನು ಒಗ್ಗೂಡಿಸುವ ಮೂಲಕ ದಿ.ಹರಕಿಶನ್ ಸಿಂಗ್ ಸುರ್ಜೀತ್ ಪಾತ್…,Neutral
@sailalith1998 @actorvijay @KeerthyOfficial @ThalapathyLogu1 @sampath_keerthy @Sathish_Keerthy @WLKeerthyS… https://t.co/PpRWzOUpEV,Neutral
UAE delegation led by H.H.Shiek Abdullah bin Al- Nahyan, Minister of Foreign Affairs &amp; International Cooperation me… https://t.co/A4C5mZo7QT,Neagtive
@sailalith1998 @actorvijay @KeerthyOfficial @ThalapathyLogu1 @Vamsi1165 @sampath_keerthy @Sathish_Keerthy… https://t.co/AdwxedPH7h,Neutral
RT @sailalith1998: My another edit on #Thalapathy @actorvijay  &amp; #MakkalSelvi @KeerthyOfficial . Hope you guys like it. 
Dedicating to my b…,Neutral
RT @sailalith1998: My another edit on #Thalapathy @actorvijay  &amp; #MakkalSelvi @KeerthyOfficial . Hope you guys like it. 
Dedicating to my b…,Neutral
@kalkur_vivek @Pradeepisgreat @raghuynt @anjukkumar @AxPn @anilkarat @murali772 @ghanshyam_in @VoicOfNewIndia… https://t.co/NH7pArPDvc,Neutral
@CMofKarnataka @hd_kumaraswamy honours @Ratnaprabha_IAS who retired as Chief Secretary to Government of Karnataka t… https://t.co/scy3mm0wt1,Neutral
@Pradeepisgreat @shashibk @anjukkumar @AxPn @anilkarat @murali772 @ksvenu247 @ghanshyam_in @VoicOfNewIndia… https://t.co/ARaGka2DaF,Neutral
RT @Pradeepisgreat: @raghuynt @shashibk @anjukkumar @AxPn @anilkarat @murali772 @ksvenu247 @ghanshyam_in @VoicOfNewIndia @kalkur_vivek @kir…,Neutral
@Pradeepisgreat @raghuynt @shashibk @anjukkumar @AxPn @anilkarat @murali772 @ksvenu247 @ghanshyam_in… https://t.co/32s1OyHeUQ,Neutral
RT @drashwathcn: ಕುಡಿಯುವ ನೀರಿನ ಹೆಸರಿನಲ್ಲಿ ಕಾಂಗ್ರೆಸ್ ಸರ್ಕಾರ ಭಾರೀ ಭ್ರಷ್ಟಾಚಾರ ನಡೆಸಿರುವ ಪ್ರಕರಣ ಬೆಳಕಿಗೆ ಬಂದಿದೆ! 

ತಮ್ಮ ಹೊಸ ಮಿತ್ರ @siddaramaiah ನ…,Neutral
Kumaraswamy calls all-party meet, Karnataka govt to appeal in SC against Cauvery water authority.. https://t.co/xEOsoqu32Z,Neutral
RT @drashwathcn: ಕುಡಿಯುವ ನೀರಿನ ಹೆಸರಿನಲ್ಲಿ ಕಾಂಗ್ರೆಸ್ ಸರ್ಕಾರ ಭಾರೀ ಭ್ರಷ್ಟಾಚಾರ ನಡೆಸಿರುವ ಪ್ರಕರಣ ಬೆಳಕಿಗೆ ಬಂದಿದೆ! 

ತಮ್ಮ ಹೊಸ ಮಿತ್ರ @siddaramaiah ನ…,Neutral
RT @ShobhaBJP: it’s highly condemnable!! &amp; completely unacceptable 

We urge CM  #Kumaraswamy to have thorough investigation on this matter…,Positive
RT @Pradeepisgreat: @raghuynt @shashibk @anjukkumar @AxPn @anilkarat @murali772 @ksvenu247 @ghanshyam_in @VoicOfNewIndia @kalkur_vivek @kir…,Neutral
@Pradeepisgreat @raghuynt @anjukkumar @AxPn @anilkarat @murali772 @ksvenu247 @ghanshyam_in @VoicOfNewIndia… https://t.co/SDRIWVo4TC,Neutral
Karnataka to challenge Cauvery authority, committee in SC - Deccan Chronicle https://t.co/4xSt9oKdc9,Neutral
RT @Ksoustudent: @karthikrao18 @Suresh89295027 @prashantku007 @Hareeshkumars2 @KSOU_NEWS @Mukkolla2 @MaheshNs17 @VinayKudlu @Keshava80 @Kar…,Neutral
RT @sailalith1998: @Sampath36284853 @actorvijay @KeerthyOfficial @ThalapathyLogu1 @Vamsi1165 @sampath_keerthy @Sathish_Keerthy @WLKeerthyS…,Neutral
RT @Sampath36284853: @sailalith1998 @actorvijay @KeerthyOfficial @ThalapathyLogu1 @Vamsi1165 @sampath_keerthy @Sathish_Keerthy @WLKeerthyS…,Neutral
@Sampath36284853 @actorvijay @KeerthyOfficial @ThalapathyLogu1 @Vamsi1165 @sampath_keerthy @Sathish_Keerthy… https://t.co/y0y1FZ7hzD,Neutral
@sailalith1998 @actorvijay @KeerthyOfficial @ThalapathyLogu1 @Vamsi1165 @sampath_keerthy @Sathish_Keerthy… https://t.co/gE3C0pUsRe,Neutral
RT @sailalith1998: My another edit on #Thalapathy @actorvijay  &amp; #MakkalSelvi @KeerthyOfficial . Hope you guys like it. 
Dedicating to my b…,Neutral
RT @sailalith1998: My another edit on #Thalapathy @actorvijay  &amp; #MakkalSelvi @KeerthyOfficial . Hope you guys like it. 
Dedicating to my b…,Neutral
RT @sailalith1998: My another edit on #Thalapathy @actorvijay  &amp; #MakkalSelvi @KeerthyOfficial . Hope you guys like it. 
Dedicating to my b…,Neutral
RT @IndianExpress: The all-party meeting on the Cauvery issue decided that two senior officials nominated by the state government as its re…,Neutral
My another edit on #Thalapathy @actorvijay  &amp; #MakkalSelvi @KeerthyOfficial . Hope you guys like it. 
Dedicating to… https://t.co/jI4JAAxkVS,Neutral
@ikamalhaasan So you're advising JDS like setup? Another #KumaraSwamy in the making 😂😂😂,Neutral
RT @MysuruRailUsers: @Star_Of_Mysore Sir @mepratap @PiyushGoyal this is serious water source threat to our Kaveri basin ppl. Pls stop it. W…,Neagtive
RT @drashwathcn: ಕುಡಿಯುವ ನೀರಿನ ಹೆಸರಿನಲ್ಲಿ ಕಾಂಗ್ರೆಸ್ ಸರ್ಕಾರ ಭಾರೀ ಭ್ರಷ್ಟಾಚಾರ ನಡೆಸಿರುವ ಪ್ರಕರಣ ಬೆಳಕಿಗೆ ಬಂದಿದೆ! 

ತಮ್ಮ ಹೊಸ ಮಿತ್ರ @siddaramaiah ನ…,Neutral
@SirNumber7 Sir tge day yu saiD
 CM KUMARASWAMY
Im your predictor fan ..sorry to bother but plss let me knw yur pre… https://t.co/QLkhpywLJY,Neutral
RT @Pradeepisgreat: @raghuynt @shashibk @anjukkumar @AxPn @anilkarat @murali772 @ksvenu247 @ghanshyam_in @VoicOfNewIndia @kalkur_vivek @kir…,Neutral
कावेरी जल विवाद पर बोले डीके शिवकुमार, सुप्रीम कोर्ट का निर्णय राज्य के हित में नहीं https://t.co/5QOwa72hXi via… https://t.co/UXuYpfPNV4,Neutral
The all-party meeting on the Cauvery issue decided that two senior officials nominated by the state government as i… https://t.co/TtkIBfoLiP,Neutral
RT @CNNnews18: Siddaramaiah has snubbed the newly formed Cong-JD(S) alliance again. The former CM has skipped the crucial all-party meet on…,Positive
RT @ShobhaBJP: it’s highly condemnable!! &amp; completely unacceptable 

We urge CM  #Kumaraswamy to have thorough investigation on this matter…,Positive
RT @ThalapathyLogu1: Today's edit with our all time fav. #ThalapathyVijay &amp; @KeerthyOfficial mam dedicated to them &amp; our besties @JillaMass…,Neutral
ಬನ್ನೇರುಘಟ್ಟ ಉದ್ಯಾನವನದವರೆಗೂ ಮೆಟ್ರೋ ರೈಲು ಸಂಪರ್ಕ ಕಲ್ಪಿಸಲು ಮನವಿ #nammametro @cpronammametro @hd_kumaraswamy… https://t.co/RoOOQXsBSA,Neutral
RT @yuvaraj_ks_fan: @ThalapathyLogu1 @KeerthyOfficial @JillaMassVijay @mageshyuvaraj @Sumathy59605919 @Vamsi1165 @sailalith1998 @sampath_ke…,Neutral
ವೋಲ್ವೋ ಬಸ್ ಪ್ರಯಾಣ ದರ ಹೆಚ್ಚಳ ಮಾಡಿದ ಬಿಎಂಟಿಸಿ, ನಾಳೆಯಿಂದ ಜಾರಿಗೆ @BMTC_BENGALURU #volvo #bmtc @hd_kumaraswamy… https://t.co/CLkvkssqC8,Neutral
