tweet,sentiment_label
RT @bainjal: Shameful that none of Sushma Swaraj's cabinet colleagues have condemned the hate filled trolling she &amp; her family continue to…,Neagtive
RT @bainjal: Shameful that none of Sushma Swaraj's cabinet colleagues have condemned the hate filled trolling she &amp; her family continue to…,Neagtive
RT @bainjal: Shameful that none of Sushma Swaraj's cabinet colleagues have condemned the hate filled trolling she &amp; her family continue to…,Neagtive
RT @inquestioner: Dear well-meaning "libtards", please note that despite all your outrage in support of Sushma Swaraj, neither she nor her…,Neutral
RT @bainjal: Poor Sushma. Modi, Doval and Madhav have made a mess of foreign policy https://t.co/ivsW5jsCyp via @DailyO_,Neagtive
RT @bainjal: Shameful that none of Sushma Swaraj's cabinet colleagues have condemned the hate filled trolling she &amp; her family continue to…,Neagtive
RT @SushmaSwaraj: 1 million downloads in two days: Sushma Swaraj’s passport seva mobile app a big hit https://t.co/GZGy5jkasL via @IndianEx…,Neutral
RT @iAnkurSingh: I hope Sushma Swaraj soon realises that she is external affairs minister and followed by many world leaders and stop RTing…,Positive
RT @ArchisMohan: Check tweets and retweets of Sushma Swaraj and Swaraj Kaushal. Shameful how Sanghis are targetting the couple.,Neutral
@ETOpinion @SushmaSwaraj You must be kidding me. I will believe this only if Sushma Swaraj can show us that she can… https://t.co/PS2bwlmEOO,Neutral
RT @iAnkurSingh: I hope Sushma Swaraj soon realises that she is external affairs minister and followed by many world leaders and stop RTing…,Positive
RT @itssitu: There has been a great hue and cry about Sushma Swaraj scrapping police address verification for Passport services. 
1st, it's…,Positive
RT @SushmaSwaraj: 1 million downloads in two days: Sushma Swaraj’s passport seva mobile app a big hit https://t.co/GZGy5jkasL via @IndianEx…,Neutral
RT @arjyabratapande: To my friends.. 🙏🙏.. Can somebody give me advice what I will do now. Plz give me reply. Everybody knows our honr sushm…,Neutral
RT @saket71: Point isn’t that Sushma Swaraj blocked those from RW who questioned. She unblocked those from left who were known abusive hand…,Neutral
RT @arjyabratapande: @ Sushma swaraj ma'am 🙏🙏. Aap ka tweet ka koi respond aya nahi aap ki bitiya aap ke help ki intejjar kar rahi hei. 🙏🙏.…,Neutral
RT @Joydas: To Quote Sushma Swaraj: The Rupee has lost its value. The Prime Minister has lost his grace. http://t.co/J3IQtOBZnQ,Neutral
RT @bainjal: Shameful that none of Sushma Swaraj's cabinet colleagues have condemned the hate filled trolling she &amp; her family continue to…,Neagtive
RT @bainjal: Shameful that none of Sushma Swaraj's cabinet colleagues have condemned the hate filled trolling she &amp; her family continue to…,Neagtive
RT @bainjal: Poor Sushma. Modi, Doval and Madhav have made a mess of foreign policy https://t.co/ivsW5jsCyp via @DailyO_,Neagtive
Please sign and RT my petition requesting respected @SushmaSwaraj ji to consider setting up a cultural sovereignty… https://t.co/SYzaa042Ro,Positive
RT @dna: Sushma Swaraj trolled on Twitter again, accused of Muslim appeasement https://t.co/oLPrV2nTba https://t.co/lDNGHOfDEK,Neutral
RT @Nayanima: India's foreign policy is in a mess, writes ⁦@bainjal⁩ ... https://t.co/XnIfMDhIdY,Neagtive
Sushma Swaraj, Mike Pompeo agree to reschedule '2+2 dialogue' soon .. https://t.co/KwD8K3KyNA,Neutral
RT @VamseeJuluri: Please sign and RT my petition requesting respected @SushmaSwaraj ji to consider setting up a cultural sovereignty task f…,Positive
RT @ZeeNews: .@SushmaSwaraj trolled on Twitter again, accused of Muslim appeasement.

https://t.co/itnVXGxuIY https://t.co/RjhGSNSL7F,Neutral
Sushma Swaraj assures help to 20 Indians stranded in China .. https://t.co/ekRlPMqIdF,Neutral
